where , r , 128 , 1441355207638 , 396.4776 , 476.002
where , r , 128 , 1441355207672 , 396.8695 , 475.8123
where , r , 128 , 1441355207705 , 396.4601 , 475.424
where , r , 128 , 1441355207738 , 395.779 , 475.9902
where , r , 128 , 1441355207772 , 394.5343 , 477.721
where , r , 128 , 1441355207805 , 394.2492 , 478.6677
where , r , 128 , 1441355207838 , 394.0041 , 476.8594
where , r , 128 , 1441355207871 , 394.2182 , 476.4256
where , r , 128 , 1441355207905 , 394.0791 , 476.6737
where , r , 128 , 1441355207938 , 394.9418 , 476.1032
where , r , 128 , 1441355207971 , 395.2761 , 475.1524
where , r , 128 , 1441355208005 , 395.4642 , 473.6905
where , r , 128 , 1441355208038 , 399.461 , 470.1201
where , r , 128 , 1441355208071 , 400.4448 , 470.1907
where , r , 128 , 1441355208105 , 401.358 , 469.5088
where , r , 128 , 1441355208138 , 402.2343 , 468.2158
where , r , 128 , 1441355208171 , 404.2127 , 467.2357
where , r , 128 , 1441355208204 , 405.0488 , 466.6583
where , r , 128 , 1441355208238 , 404.7355 , 465.9928
where , w , 125 , 1441355208271 , 292.3306 , 463.0264
appearing , n , 122 , 1441355208304 , 208.5788 , 446.6805
appearing , g , 123 , 1441355208338 , 228.2196 , 441.1357
appearing , n , 122 , 1441355208371 , 227.1224 , 444.3649
appearing , n , 122 , 1441355208404 , 224.4033 , 455.2475
appearing , n , 122 , 1441355208438 , 227.2217 , 451.5609
appearing , n , 122 , 1441355208471 , 225.8129 , 451.72
appearing , g , 123 , 1441355208504 , 228.7779 , 451.7502
appearing , n , 122 , 1441355208538 , 223.8491 , 453.2581
appearing , n , 122 , 1441355208571 , 222.4406 , 454.476
appearing , n , 122 , 1441355208604 , 218.9291 , 455.6353
appearing , n , 122 , 1441355208637 , 216.455 , 456.3999
appearing , n , 122 , 1441355208671 , 212.9144 , 455.6061
appearing , n , 122 , 1441355208704 , 207.946 , 457.2988
appearing , n , 122 , 1441355208737 , 206.2598 , 457.0432
appearing , a , 115 , 1441355208771 , 9.1826 , 346.2274
appearing , p , 117 , 1441355208804 , 49.2002 , 399.5121
appearing , p , 116 , 1441355208837 , 31.3003 , 415.3749
appearing , a , 115 , 1441355208871 , -84.1447 , 479.7475
Test , T , 0 , 1441355208970 , 0.0 , 0.0
Test , T , 0 , 1441355209004 , 0.0 , 0.0
Test , T , 0 , 1441355209037 , 0.0 , 0.0
Test , T , 0 , 1441355209070 , 0.0 , 0.0
Test , T , 0 , 1441355209104 , 0.0 , 0.0
Test , T , 0 , 1441355209170 , 0.0 , 0.0
Test , T , 0 , 1441355209304 , 0.0 , 0.0
