Arrows , A , 102 , 1418229482955 , 348.6548 , 243.7745
to , o , 249 , 1418229501274 , 633.3199 , 490.5126
to , o , 249 , 1418229501309 , 631.5747 , 488.1497
to , o , 249 , 1418229501343 , 629.129 , 492.2462
to , o , 249 , 1418229501378 , 628.7774 , 493.9537
to , o , 249 , 1418229501425 , 625.7195 , 495.0963
to , o , 249 , 1418229501459 , 622.6362 , 494.2581
to , o , 249 , 1418229501494 , 622.8819 , 492.7361
to , o , 249 , 1418229501530 , 622.9066 , 494.2878
to , o , 249 , 1418229501564 , 621.4374 , 493.4569
to , o , 249 , 1418229501610 , 617.718 , 490.6139
to , o , 249 , 1418229501644 , 616.9182 , 489.1273
to , o , 249 , 1418229501688 , 618.1437 , 488.3115
to , o , 249 , 1418229501712 , 617.4321 , 487.8388
to , o , 249 , 1418229501759 , 616.5297 , 486.0028
troubles , o , 168 , 1418229501794 , 851.653 , 387.671
to , o , 213 , 1418229501830 , 855.5101 , 458.2739
to , o , 213 , 1418229501864 , 866.4119 , 433.3655
to , o , 213 , 1418229501899 , 867.7228 , 437.7598
to , o , 213 , 1418229501934 , 862.7078 , 445.1478
to , o , 213 , 1418229501981 , 854.7968 , 447.598
to , o , 213 , 1418229502016 , 854.9603 , 460.2021
to , o , 213 , 1418229502051 , 853.8165 , 451.298
to , o , 213 , 1418229502086 , 866.0156 , 456.4469
sleep , s , 215 , 1418229502201 , 908.2492 , 465.9814
sleep , s , 215 , 1418229502236 , 918.4676 , 468.7238
sleep , l , 216 , 1418229502270 , 927.794 , 471.3909
sleep , s , 215 , 1418229502305 , 916.1317 , 471.0286
more , e , 229 , 1418229502350 , 141.0401 , 492.5017
more , o , 227 , 1418229502384 , 97.8156 , 496.0958
more , o , 227 , 1418229502419 , 97.0178 , 500.8326
more , o , 227 , 1418229502454 , 98.1663 , 512.4079
more , m , 226 , 1418229502489 , 74.3406 , 504.1357
No , o , 224 , 1418229502570 , 32.6471 , 488.8298
And , n , 178 , 1418229502605 , 20.2236 , 480.7784
And , n , 178 , 1418229502642 , 14.9803 , 477.9597
And , n , 178 , 1418229502677 , 13.0961 , 480.2075
And , A , 177 , 1418229502713 , 11.0915 , 476.4741
And , A , 177 , 1418229502749 , 5.5011 , 472.3385
And , A , 177 , 1418229502794 , 2.4925 , 468.8957
And , n , 178 , 1418229502829 , 14.7118 , 468.3681
And , n , 178 , 1418229502863 , 24.3807 , 469.2029
And , n , 178 , 1418229502898 , 34.236 , 470.2737
And , d , 179 , 1418229502933 , 43.3771 , 473.8824
And , d , 179 , 1418229502979 , 51.6381 , 475.239
more , m , 226 , 1418229503085 , 75.8481 , 483.6232
more , o , 227 , 1418229503121 , 85.3307 , 487.2904
and , n , 233 , 1418229503157 , 233.1351 , 502.3434
and , n , 233 , 1418229503201 , 251.2102 , 522.126
and , d , 234 , 1418229503236 , 254.9793 , 512.6332
and , d , 234 , 1418229503271 , 256.8959 , 515.7486
and , d , 234 , 1418229503306 , 253.7432 , 515.8863
and , d , 234 , 1418229503341 , 254.8672 , 518.642
sleep , l , 242 , 1418229503377 , 452.9913 , 505.0677
sleep , e , 244 , 1418229503421 , 494.8974 , 539.8239
the , t , 283 , 1418229503457 , 491.3217 , 578.1688
sleep , e , 243 , 1418229503492 , 486.8305 , 564.7297
sleep , e , 243 , 1418229503528 , 486.869 , 566.1506
sleep , p , 245 , 1418229503562 , 527.9894 , 544.86
thousand , a , 292 , 1418229503609 , 694.9048 , 592.224
say , a , 252 , 1418229503644 , 686.463 , 531.5128
say , s , 251 , 1418229503679 , 679.7595 , 548.5652
say , s , 251 , 1418229503713 , 682.5607 , 560.0767
say , s , 251 , 1418229503748 , 682.7624 , 560.6168
say , a , 252 , 1418229503795 , 707.2035 , 561.0616
end , d , 260 , 1418229503830 , 895.8923 , 537.2225
end , n , 259 , 1418229503899 , 869.4244 , 494.9491
end , n , 259 , 1418229503934 , 871.9072 , 513.7842
we , e , 256 , 1418229503969 , 791.8284 , 508.1314
The , e , 265 , 1418229504084 , 53.8402 , 586.7277
The , e , 265 , 1418229504120 , 44.735 , 575.361
The , e , 265 , 1418229504154 , 45.9114 , 575.9387
The , e , 265 , 1418229504200 , 48.4577 , 576.4402
No , N , 223 , 1418229504270 , -35.4071 , 558.5073
No , N , 223 , 1418229504305 , -55.8381 , 516.265
No , N , 223 , 1418229504340 , -45.3251 , 538.084
No , N , 223 , 1418229504385 , -54.4562 , 538.1243
No , N , 223 , 1418229504420 , -20.6665 , 549.1091
ache , h , 275 , 1418229504490 , 290.2799 , 577.3755
ache , h , 275 , 1418229504524 , 277.0201 , 615.8676
ache , h , 275 , 1418229504569 , 286.1348 , 614.814
ache , h , 275 , 1418229504604 , 295.5023 , 606.1991
and , n , 280 , 1418229504675 , 396.0276 , 623.1906
the , e , 285 , 1418229504756 , 522.5015 , 638.5922
the , e , 285 , 1418229504791 , 526.2568 , 643.9133
the , e , 285 , 1418229504827 , 537.4564 , 639.066
thousand , u , 290 , 1418229504862 , 639.5048 , 648.7966
thousand , a , 292 , 1418229504898 , 695.1702 , 653.1478
consummation , n , 353 , 1418229504932 , 984.1689 , 697.2222
consummation , i , 351 , 1418229504977 , 944.2947 , 681.9612
consummation , i , 351 , 1418229505012 , 924.3571 , 682.7299
consummation , i , 351 , 1418229505048 , 930.242 , 680.8417
consummation , i , 351 , 1418229505084 , 940.3034 , 687.8057
consummation , i , 351 , 1418229505120 , 940.262 , 687.5635
consummation , o , 352 , 1418229505156 , 952.9453 , 686.9648
consummation , m , 347 , 1418229505341 , 841.1802 , 675.7286
Flesh , s , 320 , 1418229505412 , 190.5076 , 679.903
Heart , a , 269 , 1418229505457 , 140.5408 , 665.269
That , t , 315 , 1418229505528 , 76.1023 , 674.2145
The , e , 265 , 1418229505564 , 46.4956 , 646.9276
The , e , 265 , 1418229505599 , 45.1906 , 652.8738
The , e , 265 , 1418229505645 , 42.2279 , 656.055
The , e , 265 , 1418229505680 , 37.5248 , 652.008
The , h , 264 , 1418229505715 , 32.635 , 648.3539
The , e , 265 , 1418229505749 , 47.5419 , 652.6151
heir , r , 329 , 1418229505829 , 400.8683 , 716.1062
heir , r , 329 , 1418229505864 , 415.5484 , 717.0316
to , o , 332 , 1418229505968 , 475.7717 , 718.6024
die , i , 383 , 1418229506014 , 657.9284 , 767.989
die , i , 383 , 1418229506049 , 645.274 , 769.2499
die , i , 383 , 1418229506084 , 636.59 , 764.4556
Tis , s , 338 , 1418229506119 , 635.8597 , 757.5323
die , i , 383 , 1418229506302 , 659.0085 , 759.0529
a , a , 340 , 1418229506348 , 676.3433 , 757.8372
consummation , c , 342 , 1418229506454 , 716.6617 , 751.2442
consummation , c , 342 , 1418229506489 , 727.5217 , 749.6093
consummation , o , 343 , 1418229506524 , 736.9605 , 751.2501
consummation , o , 343 , 1418229506559 , 744.4594 , 751.9236
consummation , o , 343 , 1418229506605 , 752.4048 , 752.559
consummation , n , 344 , 1418229506640 , 758.1679 , 752.1987
