Arms , m , 146 , 1418325031546 , 312.2434 , 338.9062
Arms , m , 146 , 1418325031592 , 306.9065 , 326.4827
Arms , m , 146 , 1418325031626 , 307.3551 , 326.2045
against , g , 150 , 1418325031696 , 401.1019 , 326.8141
Sea , S , 159 , 1418325031879 , 616.1131 , 308.0735
Sea , S , 159 , 1418325031925 , 631.0002 , 310.9655
Sea , e , 160 , 1418325031959 , 641.1413 , 309.6434
Sea , e , 160 , 1418325031995 , 648.0266 , 308.4385
troubles , o , 168 , 1418325032029 , 844.0328 , 330.6151
troubles , o , 168 , 1418325032143 , 849.842 , 306.2155
troubles , o , 168 , 1418325032179 , 850.7327 , 306.912
troubles , o , 168 , 1418325032213 , 847.0255 , 307.1787
troubles , o , 168 , 1418325032248 , 848.6121 , 305.592
troubles , o , 168 , 1418325032292 , 844.6155 , 308.9924
against , t , 155 , 1418325032326 , 533.023 , 381.0171
opposing , p , 185 , 1418325032361 , 185.1965 , 457.8483
by , y , 182 , 1418325032442 , 125.3789 , 457.5758
by , y , 182 , 1418325032476 , 121.5339 , 456.2344
by , y , 182 , 1418325032510 , 117.04 , 455.752
by , b , 181 , 1418325032544 , 95.8167 , 459.6688
by , b , 181 , 1418325032589 , 107.4454 , 469.1483
by , y , 182 , 1418325032624 , 110.0625 , 461.1858
by , y , 182 , 1418325032660 , 111.1888 , 464.242
by , y , 182 , 1418325032696 , 124.1033 , 466.0803
opposing , p , 185 , 1418325032731 , 185.0173 , 450.1704
end , n , 195 , 1418325032766 , 424.4437 , 391.2393
end , n , 195 , 1418325032812 , 424.2288 , 404.098
end , n , 195 , 1418325032847 , 424.7598 , 406.3912
end , n , 195 , 1418325032881 , 428.5727 , 405.2893
end , n , 195 , 1418325032916 , 427.7206 , 403.9611
end , n , 195 , 1418325032952 , 423.1261 , 404.7518
end , n , 195 , 1418325032997 , 424.4373 , 409.8376
To , T , 204 , 1418325033032 , 652.3801 , 397.7016
Sea , e , 160 , 1418325033067 , 649.8206 , 376.224
Sea , e , 160 , 1418325033103 , 647.0518 , 381.8313
Sea , e , 160 , 1418325033137 , 642.9752 , 385.8074
Sea , e , 160 , 1418325033183 , 644.3686 , 381.7495
Sea , e , 160 , 1418325033218 , 642.4516 , 381.8692
Sea , e , 160 , 1418325033253 , 643.0558 , 383.7286
troubles , u , 169 , 1418325033288 , 871.3865 , 366.2627
troubles , u , 169 , 1418325033323 , 861.1838 , 379.2725
troubles , u , 169 , 1418325033358 , 871.9149 , 374.3291
troubles , u , 169 , 1418325033403 , 869.0776 , 387.1346
to , o , 213 , 1418325033438 , 868.4764 , 393.1941
troubles , u , 169 , 1418325033473 , 866.9116 , 390.5374
troubles , u , 169 , 1418325033508 , 868.0194 , 389.6267
troubles , u , 169 , 1418325033553 , 867.2385 , 387.176
die , d , 207 , 1418325033588 , 718.2734 , 466.9173
and , d , 234 , 1418325033624 , 269.9459 , 513.2806
and , a , 232 , 1418325033659 , 214.0123 , 531.7659
No , o , 224 , 1418325033843 , 34.3096 , 545.1846
No , o , 224 , 1418325033877 , 35.9735 , 544.7464
and , a , 232 , 1418325034064 , 209.7407 , 528.8574
and , n , 233 , 1418325034098 , 236.1573 , 486.6118
and , n , 233 , 1418325034143 , 237.211 , 483.0459
and , n , 233 , 1418325034178 , 237.7213 , 491.3563
and , n , 233 , 1418325034212 , 234.8247 , 493.2233
and , d , 234 , 1418325034248 , 273.5154 , 486.6044
sleep , l , 242 , 1418325034294 , 464.3636 , 515.4706
end , d , 196 , 1418325034334 , 457.3876 , 480.4294
end , d , 196 , 1418325034359 , 453.9089 , 480.2917
end , d , 196 , 1418325034404 , 454.8017 , 482.9812
end , d , 196 , 1418325034439 , 451.3788 , 482.7084
end , d , 196 , 1418325034475 , 450.955 , 481.4893
To , T , 204 , 1418325034511 , 638.9169 , 480.3969
To , T , 204 , 1418325034802 , 639.7545 , 474.6681
To , T , 204 , 1418325034849 , 656.9327 , 476.0367
To , o , 205 , 1418325034884 , 671.4144 , 474.4662
To , o , 205 , 1418325034919 , 683.5385 , 472.0372
To , o , 205 , 1418325034988 , 680.9191 , 475.3162
and , n , 233 , 1418325035024 , 234.0381 , 570.9639
and , a , 232 , 1418325035071 , 209.367 , 566.3578
Heart , a , 269 , 1418325035141 , 152.3595 , 593.4944
Heart , e , 268 , 1418325035176 , 130.7122 , 601.2051
Heart , e , 268 , 1418325035210 , 115.8189 , 604.0888
Heart , e , 268 , 1418325035255 , 108.0175 , 607.9453
Heart , H , 267 , 1418325035290 , 99.8233 , 610.0328
Heart , H , 267 , 1418325035324 , 94.0842 , 613.5064
Heart , H , 267 , 1418325035358 , 87.0831 , 614.0953
Heart , H , 267 , 1418325035402 , 97.9467 , 618.6071
Heart , e , 268 , 1418325035436 , 113.7604 , 618.6846
Heart , e , 268 , 1418325035471 , 126.6332 , 615.6145
Heart , a , 269 , 1418325035506 , 137.4758 , 615.5117
Heart , a , 269 , 1418325035542 , 148.5291 , 614.3336
Natural , a , 297 , 1418325035913 , 812.3127 , 616.0359
Natural , r , 300 , 1418325035959 , 891.58 , 602.0682
Natural , r , 300 , 1418325035995 , 886.9045 , 601.0533
Natural , r , 300 , 1418325036030 , 889.6971 , 619.6001
Natural , r , 300 , 1418325036063 , 884.8339 , 626.224
Natural , r , 300 , 1418325036097 , 881.7656 , 630.8892
thousand , t , 287 , 1418325036142 , 574.9104 , 615.4406
the , t , 283 , 1418325036176 , 484.0149 , 625.7038
the , h , 284 , 1418325036212 , 498.1245 , 632.1685
the , h , 284 , 1418325036245 , 500.5518 , 638.2112
the , h , 284 , 1418325036292 , 504.4455 , 623.6384
the , h , 284 , 1418325036326 , 506.8799 , 619.7844
Flesh , e , 319 , 1418325036361 , 172.0032 , 739.2824
Flesh , e , 319 , 1418325036395 , 172.2792 , 739.4962
Flesh , e , 319 , 1418325036441 , 167.9878 , 748.0817
Flesh , e , 319 , 1418325036476 , 168.8543 , 752.5563
Flesh , e , 319 , 1418325036510 , 164.2036 , 753.5658
Flesh , l , 318 , 1418325036544 , 142.5877 , 750.2612
Flesh , F , 317 , 1418325036578 , 129.7244 , 749.3947
Flesh , F , 317 , 1418325036622 , 118.1456 , 748.5209
Flesh , F , 317 , 1418325036656 , 110.4385 , 746.8276
heir , i , 328 , 1418325036690 , 394.7891 , 721.4778
heir , r , 329 , 1418325036735 , 416.7122 , 748.4858
heir , r , 329 , 1418325036770 , 411.4683 , 739.0557
heir , r , 329 , 1418325036804 , 412.5711 , 736.2045
heir , r , 329 , 1418325036839 , 409.5508 , 739.0165
heir , r , 329 , 1418325036885 , 409.638 , 734.7783
Tis , i , 337 , 1418325036919 , 594.0477 , 707.2224
a , a , 340 , 1418325036988 , 664.7997 , 744.986
a , a , 340 , 1418325037023 , 663.2552 , 742.2465
a , a , 340 , 1418325037069 , 665.2229 , 742.4826
a , a , 340 , 1418325037104 , 663.533 , 742.8635
a , a , 340 , 1418325037138 , 660.1505 , 746.0792
a , a , 340 , 1418325037172 , 660.197 , 745.4343
a , a , 340 , 1418325037218 , 660.1221 , 744.5768
a , a , 340 , 1418325037252 , 671.5518 , 746.4545
consummation , m , 347 , 1418325037287 , 834.3433 , 711.3855
consummation , m , 347 , 1418325037321 , 842.4837 , 690.5074
consummation , m , 347 , 1418325037357 , 837.1799 , 688.3233
consummation , m , 347 , 1418325037402 , 834.5424 , 689.2492
consummation , m , 347 , 1418325037437 , 832.7833 , 694.6139
consummation , m , 347 , 1418325037473 , 832.5275 , 698.9794
consummation , m , 347 , 1418325037508 , 834.1618 , 696.55
consummation , m , 347 , 1418325037543 , 834.5422 , 699.2236
consummation , m , 347 , 1418325037578 , 834.0146 , 700.0202
a , a , 340 , 1418325037623 , 673.4379 , 687.259
a , a , 340 , 1418325037693 , 660.9353 , 691.8656
a , a , 340 , 1418325037728 , 663.6786 , 689.1885
a , a , 340 , 1418325037763 , 664.2386 , 690.606
a , a , 340 , 1418325037809 , 663.5986 , 692.3981
a , a , 340 , 1418325037843 , 665.3043 , 691.3532
a , a , 340 , 1418325037878 , 665.4636 , 692.7294
a , a , 340 , 1418325037913 , 666.8055 , 691.0331
a , a , 340 , 1418325037958 , 665.3115 , 690.0839
a , a , 340 , 1418325037992 , 665.6934 , 690.6018
a , a , 340 , 1418325038027 , 665.403 , 691.1762
a , a , 340 , 1418325038063 , 666.237 , 691.2922
a , a , 340 , 1418325038097 , 666.5069 , 690.8018
a , a , 340 , 1418325038142 , 665.1823 , 691.0791
a , a , 340 , 1418325038177 , 665.558 , 691.0031
a , a , 340 , 1418325038212 , 665.2423 , 691.3719
a , a , 340 , 1418325038247 , 665.7054 , 692.059
Arrows , A , 102 , 1418325038282 , 354.2193 , 259.4603
Whether , t , 47 , 1418325038328 , 69.7163 , 140.8656
Whether , t , 47 , 1418325038361 , 71.7336 , 138.6276
Whether , t , 47 , 1418325038397 , 72.4447 , 142.822
Whether , t , 47 , 1418325038431 , 72.7392 , 144.8875
Whether , t , 47 , 1418325038466 , 72.5666 , 149.22
Whether , t , 47 , 1418325038513 , 77.1292 , 157.8554
