opposing , g , 191 , 1417467157144 , 432.5175 , 559.1278
opposing , n , 190 , 1417467157191 , 389.3463 , 584.3355
opposing , i , 189 , 1417467157226 , 352.5226 , 562.2274
opposing , i , 189 , 1417467157259 , 354.046 , 573.8679
opposing , i , 189 , 1417467157293 , 365.251 , 560.2675
opposing , i , 189 , 1417467157337 , 374.7277 , 554.4786
opposing , i , 189 , 1417467157373 , 373.7889 , 551.2314
opposing , i , 189 , 1417467157408 , 372.8585 , 543.2262
opposing , i , 189 , 1417467157443 , 372.6854 , 540.3388
against , i , 152 , 1417467157478 , 572.9366 , 466.2555
against , a , 151 , 1417467157512 , 553.3282 , 453.9176
against , i , 152 , 1417467157558 , 566.2034 , 457.6064
against , i , 152 , 1417467157593 , 555.4921 , 470.1523
against , i , 152 , 1417467157628 , 555.5735 , 485.0139
against , a , 151 , 1417467157663 , 554.1485 , 493.1181
against , a , 151 , 1417467157708 , 552.8219 , 480.4353
against , a , 151 , 1417467157744 , 551.8027 , 489.1877
against , i , 152 , 1417467157780 , 571.8271 , 483.5319
Sea , S , 159 , 1417467157814 , 774.6157 , 481.2808
Sea , S , 159 , 1417467157930 , 793.4811 , 492.4407
Sea , S , 159 , 1417467157964 , 793.1556 , 479.8887
To , T , 204 , 1417467157999 , 801.0034 , 496.0469
To , T , 204 , 1417467158035 , 819.8477 , 496.9255
Sea , a , 161 , 1417467158070 , 836.5848 , 488.2876
Sea , a , 161 , 1417467158105 , 844.652 , 490.5133
Sea , a , 161 , 1417467158150 , 853.7852 , 492.6334
sleep , l , 218 , 1417467158254 , 1224.7834 , 490.1318
sleep , l , 218 , 1417467158300 , 1243.7383 , 509.6094
sleep , l , 218 , 1417467158335 , 1235.6713 , 504.8358
sleep , l , 218 , 1417467158370 , 1238.5098 , 496.277
sleep , l , 218 , 1417467158404 , 1244.5968 , 499.178
sleep , e , 219 , 1417467158448 , 1251.5265 , 493.2263
sleep , e , 219 , 1417467158484 , 1251.0491 , 494.9378
sleep , e , 219 , 1417467158519 , 1246.635 , 494.509
sleep , l , 218 , 1417467158554 , 1243.5601 , 496.7908
sleep , l , 218 , 1417467158588 , 1240.7981 , 502.3957
sleep , l , 218 , 1417467158632 , 1237.2196 , 499.6512
sleep , l , 218 , 1417467158666 , 1232.5999 , 502.4466
sleep , l , 218 , 1417467158702 , 1227.5209 , 503.4905
sleep , l , 218 , 1417467158738 , 1225.3761 , 503.376
sleep , l , 218 , 1417467158773 , 1219.9465 , 503.655
sleep , l , 218 , 1417467158808 , 1216.838 , 504.6375
sleep , s , 217 , 1417467158855 , 1213.5745 , 503.7515
sleep , s , 217 , 1417467158889 , 1212.6458 , 501.926
sleep , s , 217 , 1417467158924 , 1209.7577 , 501.8203
sleep , s , 217 , 1417467158959 , 1208.1973 , 500.5229
sleep , s , 217 , 1417467158994 , 1205.5564 , 499.6997
sleep , s , 217 , 1417467159040 , 1201.489 , 499.5631
sleep , s , 217 , 1417467159076 , 1198.1305 , 498.0567
sleep , s , 217 , 1417467159110 , 1195.2626 , 499.7066
sleep , s , 217 , 1417467159146 , 1186.2086 , 499.5189
name , t , 212 , 1417467159181 , 1036.9496 , 504.1484
troubles , o , 168 , 1417467159216 , 1047.2338 , 485.1704
troubles , o , 168 , 1417467159262 , 1058.7789 , 495.5928
sleep , s , 215 , 1417467159363 , 1135.939 , 502.3596
sleep , s , 215 , 1417467159410 , 1149.4757 , 505.3974
sleep , l , 216 , 1417467159445 , 1155.8385 , 497.8692
to , t , 212 , 1417467159734 , 1043.9836 , 522.2949
opposing , i , 189 , 1417467159779 , 352.4525 , 565.7782
more , e , 229 , 1417467159849 , 191.1354 , 617.1687
more , r , 228 , 1417467159883 , 161.3751 , 617.4725
more , r , 228 , 1417467159919 , 152.7459 , 627.6
No , N , 223 , 1417467159965 , -10.7553 , 646.0801
No , N , 223 , 1417467160000 , 9.4275 , 699.1339
No , o , 224 , 1417467160035 , 18.7895 , 708.7124
No , o , 224 , 1417467160070 , 20.9848 , 698.22
No , o , 224 , 1417467160105 , 32.5733 , 692.0797
No , o , 224 , 1417467160150 , 35.5315 , 691.8795
No , o , 224 , 1417467160185 , 30.0012 , 693.4224
No , o , 224 , 1417467160220 , 37.92 , 683.583
and , d , 234 , 1417467160476 , 317.8796 , 681.7545
and , n , 233 , 1417467160511 , 304.9731 , 650.9327
and , a , 232 , 1417467160557 , 277.323 , 648.1675
and , a , 232 , 1417467160591 , 278.5184 , 642.8484
and , a , 232 , 1417467160626 , 281.5107 , 636.5236
and , a , 232 , 1417467160661 , 281.1205 , 630.8891
and , a , 232 , 1417467160695 , 281.073 , 624.3488
and , a , 232 , 1417467160740 , 279.8369 , 628.0144
and , a , 232 , 1417467160776 , 277.0713 , 623.0094
and , a , 232 , 1417467160811 , 270.4373 , 627.0475
a , a , 239 , 1417467160995 , 469.2574 , 674.9324
sleep , s , 241 , 1417467161146 , 529.0791 , 662.407
say , y , 253 , 1417467161181 , 902.9683 , 621.8206
say , a , 252 , 1417467161217 , 874.7126 , 606.5756
say , s , 251 , 1417467161251 , 844.1154 , 635.5676
say , s , 251 , 1417467161295 , 830.0815 , 611.3894
To , o , 205 , 1417467161329 , 828.3962 , 604.9745
say , s , 253 , 1417467161364 , 825.4419 , 613.9102
we , e , 258 , 1417467161515 , 987.6764 , 626.5889
say , y , 255 , 1417467161594 , 907.5522 , 629.408
we , w , 257 , 1417467161663 , 962.7081 , 635.4373
we , e , 258 , 1417467161699 , 988.915 , 622.6013
name , t , 212 , 1417467161813 , 1038.8276 , 609.7065
end , e , 258 , 1417467161848 , 1047.1047 , 610.9752
end , d , 260 , 1417467161917 , 1099.3303 , 619.3424
end , n , 259 , 1417467161964 , 1086.6322 , 610.6522
end , n , 259 , 1417467161999 , 1088.5245 , 610.9072
